"","BGN_DATE","EVTYPE","COUNTY","COUNTYNAME","STATE","FATALITIES","INJURIES","LATITUDE","LONGITUDE"
"723398","12/31/2008 0:00:00","HIGH WIND",16,"NJZ016 - 021","NJ",0,1,0,0
"723651","7/11/2008 0:00:00","FLASH FLOOD",31,"MCKINLEY","NM",3,0,3537,10845
"723654","7/14/2008 0:00:00","FLASH FLOOD",49,"SANTA FE","NM",1,0,3543,10555
"723680","7/26/2008 0:00:00","FLOOD",27,"LINCOLN","NM",1,0,3318,10539
"723852","12/15/2008 0:00:00","HEAVY SNOW",3,"NMZ003","NM",2,0,0,0
"723963","1/30/2008 0:00:00","STRONG WIND",75,"NYZ075","NY",1,1,0,0
"724093","3/20/2008 0:00:00","STRONG WIND",70,"NYZ070","NY",1,2,0,0
"724222","6/10/2008 0:00:00","THUNDERSTORM WIND",49,"LEWIS","NY",1,0,4354,7523
"724350","6/14/2008 0:00:00","LIGHTNING",111,"ULSTER","NY",0,4,4145,7407
"724747","7/18/2008 0:00:00","LIGHTNING",91,"SARATOGA","NY",0,2,4300,7352
"724751","7/20/2008 0:00:00","THUNDERSTORM WIND",117,"WAYNE","NY",0,2,4306,7718
"724823","3/15/2008 0:00:00","THUNDERSTORM WIND",141,"PENDER","NC",0,7,3427,7753
"724842","5/11/2008 0:00:00","TORNADO",133,"ONSLOW","NC",0,6,3452,7714
"724976","7/27/2008 0:00:00","LIGHTNING",59,"NASSAU","NY",0,5,4045,7331
"725085","8/9/2008 0:00:00","LIGHTNING",13,"CHAUTAUQUA","NY",0,1,4212,7928
"725310","10/1/2008 0:00:00","LIGHTNING",63,"NIAGARA","NY",0,1,4319,7834
"725467","1/20/2008 0:00:00","COLD/WIND CHILL",71,"NCZ071","NC",1,0,0,0
"725503","2/18/2008 0:00:00","TORNADO",79,"GREENE","NC",0,3,3526,7734
"725654","3/9/2008 0:00:00","STRONG WIND",71,"NCZ071","NC",1,0,0,0
"725851","5/8/2008 0:00:00","TORNADO",67,"FORSYTH","NC",0,2,3558,8022
"725852","5/8/2008 0:00:00","TORNADO",81,"GUILFORD","NC",1,3,3603,8001
"725963","5/11/2008 0:00:00","TORNADO",15,"BERTIE","NC",0,2,3608,7711
"726176","5/27/2008 0:00:00","HEAT",22,"NCZ022","NC",1,0,0,0
"726287","6/10/2008 0:00:00","HEAT",44,"NCZ044","NC",1,0,0,0
"726334","6/13/2008 0:00:00","HEAT",44,"NCZ044","NC",2,0,0,0
"726366","6/20/2008 0:00:00","LIGHTNING",55,"DARE","NC",0,2,3535,7528
"726469","6/27/2008 0:00:00","LIGHTNING",27,"CALDWELL","NC",0,8,3601,8133
"726478","6/27/2008 0:00:00","STRONG WIND",510,"NCZ510","NC",1,0,0,0
"726593","7/7/2008 0:00:00","LIGHTNING",141,"PENDER","NC",1,4,3421,7738
"726673","7/12/2008 0:00:00","RIP CURRENT",101,"NCZ101","NC",0,4,0,0
"726885","6/26/2008 0:00:00","LIGHTNING",77,"HURON","OH",1,1,4114,8226
"727116","8/31/2008 0:00:00","RIP CURRENT",101,"NCZ101","NC",1,0,0,0
"727256","11/15/2008 0:00:00","TORNADO",101,"JOHNSTON","NC",1,2,3534,7806
"727258","11/15/2008 0:00:00","TORNADO",195,"WILSON","NC",1,4,3545,7755
"727372","4/19/2008 0:00:00","WILDFIRE",11,"NDZ011","ND",0,2,0,0
"727611","7/7/2008 0:00:00","TORNADO",79,"ROLETTE","ND",0,3,4851,9955
"727982","12/21/2008 0:00:00","COLD/WIND CHILL",21,"NDZ021","ND",1,0,0,0
"728085","2/5/2008 0:00:00","LIGHTNING",111,"MONROE","OH",1,0,3946,8113
"728206","3/19/2008 0:00:00","HEAVY RAIN",53,"GALLIA","OH",1,0,3900,8219
"728266","5/31/2008 0:00:00","TORNADO",63,"HANCOCK","OH",0,6,4105,8331
"728453","6/13/2008 0:00:00","THUNDERSTORM WIND",81,"JEFFERSON","OH",1,1,4015,8044
"728881","7/12/2008 0:00:00","FLASH FLOOD",21,"CHAMPAIGN","OH",1,0,4006,8349
"728898","7/20/2008 0:00:00","THUNDERSTORM WIND",87,"LAWRENCE","OH",0,1,3825,8230
"728956","7/26/2008 0:00:00","THUNDERSTORM WIND",155,"TRUMBULL","OH",0,2,4127,8058
"729049","9/14/2008 0:00:00","HIGH WIND",71,"OHZ071","OH",0,1,0,0
"729054","9/14/2008 0:00:00","HIGH WIND",77,"OHZ077","OH",1,0,0,0
"729059","9/14/2008 0:00:00","HIGH WIND",60,"OHZ060","OH",2,0,0,0
"729116","12/21/2008 0:00:00","EXTREME COLD/WIND CHILL",62,"OHZ062","OH",1,0,0,0
"729357","2/16/2008 0:00:00","FLASH FLOOD",41,"DELAWARE","OK",1,0,3625,9448
"729677","3/31/2008 0:00:00","FLASH FLOOD",21,"CHEROKEE","OK",1,0,3607,9502
"730173","5/2/2008 0:00:00","TORNADO",97,"MAYES","OK",0,2,3618,9526
"730240","5/7/2008 0:00:00","TORNADO",49,"GARVIN","OK",0,1,3448,9710
"730317","5/10/2008 0:00:00","TORNADO",115,"OTTAWA","OK",6,150,3659,9501
"730329","5/10/2008 0:00:00","TORNADO",77,"LATIMER","OK",0,4,3445,9530
"730854","8/9/2008 0:00:00","THUNDERSTORM WIND",91,"MCINTOSH","OK",0,4,3521,9534
