"","BGN_DATE","EVTYPE","COUNTY","COUNTYNAME","STATE","FATALITIES","INJURIES","LATITUDE","LONGITUDE"
"476252","1/24/2002 0:00:00","FLASH FLOOD",189,"WILSON","TN",1,0,0,0
"476260","1/24/2002 0:00:00","FLASH FLOOD",117,"MARSHALL","TN",0,9,0,0
"476353","3/15/2002 0:00:00","LIGHTNING",165,"SUMNER","TN",0,1,0,0
"476357","3/17/2002 0:00:00","FLASH FLOOD",117,"MARSHALL","TN",1,0,0,0
"476378","3/17/2002 0:00:00","FLASH FLOOD",43,"DICKSON","TN",1,0,0,0
"476448","4/17/2002 0:00:00","HEAVY RAIN",21,"CHEATHAM","TN",1,0,0,0
"476503","4/28/2002 0:00:00","TORNADO",149,"RUTHERFORD","TN",0,31,3545,8622
"476560","5/2/2002 0:00:00","TSTM WIND",177,"WARREN","TN",0,1,3542,8546
"476577","7/23/2002 0:00:00","TSTM WIND",163,"SULLIVAN","TN",0,3,3634,8201
"476587","7/30/2002 0:00:00","LIGHTNING",17,"CARROLL","TN",1,0,0,0
"476591","7/30/2002 0:00:00","LIGHTNING",141,"PUTNAM","TN",0,2,0,0
"476777","7/1/2002 0:00:00","LIGHTNING",99,"LAWRENCE","TN",0,18,0,0
"476822","7/2/2002 0:00:00","LIGHTNING",89,"JEFFERSON","TN",0,1,0,0
"476892","7/10/2002 0:00:00","LIGHTNING",177,"WARREN","TN",0,1,0,0
"477023","8/23/2002 0:00:00","LIGHTNING",53,"GIBSON","TN",2,0,0,0
"477026","8/24/2002 0:00:00","LIGHTNING",119,"MAURY","TN",0,1,0,0
"477083","9/27/2002 0:00:00","URBAN/SML STREAM FLD",125,"MONTGOMERY","TN",1,0,0,0
"477094","11/9/2002 0:00:00","TORNADO",167,"TIPTON","TN",0,1,3531,8954
"477097","11/9/2002 0:00:00","TORNADO",17,"CARROLL","TN",2,6,3552,8834
"477106","11/10/2002 0:00:00","TORNADO",125,"MONTGOMERY","TN",2,0,3632,8709
"477108","11/10/2002 0:00:00","TORNADO",165,"SUMNER","TN",0,6,3635,8635
"477141","11/10/2002 0:00:00","LIGHTNING",157,"SHELBY","TN",0,1,0,0
"477165","11/10/2002 0:00:00","TORNADO",3,"BEDFORD","TN",0,3,3529,8619
"477188","11/10/2002 0:00:00","TORNADO",31,"COFFEE","TN",2,24,3530,8613
"477219","11/10/2002 0:00:00","TORNADO",129,"MORGAN","TN",7,28,3602,8436
"477230","11/10/2002 0:00:00","TORNADO",35,"CUMBERLAND","TN",4,18,3554,8506
"477323","3/2/2002 0:00:00","EXTREME COLD",119,"TXZ119 - 119","TX",2,0,0,0
"477372","3/19/2002 0:00:00","HAIL",463,"UVALDE","TX",0,1,2919,9928
"477377","3/19/2002 0:00:00","TSTM WIND",325,"MEDINA","TX",0,15,2921,9909
"477385","3/19/2002 0:00:00","TSTM WIND",29,"BEXAR","TX",0,10,2927,9830
"477391","3/19/2002 0:00:00","TORNADO",29,"BEXAR","TX",0,30,2915,9841
"477407","3/19/2002 0:00:00","TSTM WIND",187,"GUADALUPE","TX",0,2,2934,9757
"477431","3/20/2002 0:00:00","FLASH FLOOD",439,"TARRANT","TX",1,0,0,0
"477576","3/30/2002 0:00:00","TORNADO",5,"ANGELINA","TX",0,6,3107,9446
"477646","4/7/2002 0:00:00","HAIL",465,"VAL VERDE","TX",0,3,2922,10054
"477672","4/7/2002 0:00:00","HAIL",271,"KINNEY","TX",0,2,2923,10025
"477757","4/8/2002 0:00:00","FLASH FLOOD",21,"BASTROP","TX",1,0,0,0
"477766","4/8/2002 0:00:00","TSTM WIND",39,"BRAZORIA","TX",0,1,2909,9506
"477996","4/25/2002 0:00:00","FLASH FLOOD",417,"SHACKELFORD","TX",1,0,0,0
"478003","4/29/2002 0:00:00","LIGHTNING",85,"COLLIN","TX",0,1,0,0
"478180","5/5/2002 0:00:00","TORNADO",437,"SWISHER","TX",2,4,3444,10151
"478260","5/8/2002 0:00:00","HAIL",49,"BROWN","TX",0,1,3159,9857
"478589","5/27/2002 0:00:00","LIGHTNING",221,"HOOD","TX",1,0,0,0
"478982","6/13/2002 0:00:00","HAIL",441,"TAYLOR","TX",0,5,3227,9952
"479127","6/15/2002 0:00:00","TSTM WIND",207,"HASKELL","TX",1,2,3305,9937
"479232","6/20/2002 0:00:00","LIGHTNING",203,"HARRISON","TX",0,1,0,0
"479323","7/1/2002 0:00:00","FLASH FLOOD",29,"BEXAR","TX",4,0,0,0
"479358","7/2/2002 0:00:00","FLOOD",192,"TXZ192","TX",1,0,0,0
"479369","7/2/2002 0:00:00","FLOOD",203,"TXZ203","TX",1,0,0,0
"479414","7/3/2002 0:00:00","FLASH FLOOD",259,"KENDALL","TX",1,0,0,0
"479473","7/6/2002 0:00:00","FLASH FLOOD",451,"TOM GREEN","TX",0,2,0,0
"479501","7/11/2002 0:00:00","EXCESSIVE HEAT",136,"TXZ136","TX",1,0,0,0
"479587","7/22/2002 0:00:00","FLASH FLOOD",375,"POTTER","TX",1,0,0,0
"479631","7/29/2002 0:00:00","DUST STORM",58,"TXZ058","TX",0,2,0,0
"479648","8/2/2002 0:00:00","FLASH FLOOD",141,"EL PASO","TX",1,0,0,0
"479653","8/3/2002 0:00:00","LIGHTNING",157,"FORT BEND","TX",1,0,0,0
"479658","8/3/2002 0:00:00","TSTM WIND",201,"HARRIS","TX",1,0,2944,9522
"479667","8/4/2002 0:00:00","TSTM WIND",481,"WHARTON","TX",0,3,2910,9617
"479677","8/8/2002 0:00:00","LIGHTNING",453,"TRAVIS","TX",0,3,0,0
"479903","9/5/2002 0:00:00","TROPICAL STORM",226,"TXZ226>227 - 235>238","TX",0,3,0,0
"479924","9/7/2002 0:00:00","TORNADO",157,"FORT BEND","TX",0,3,2924,9550
"479945","9/8/2002 0:00:00","FLASH FLOOD",453,"TRAVIS","TX",0,2,0,0
"479952","9/8/2002 0:00:00","FLASH FLOOD",29,"BEXAR","TX",0,2,0,0
"479954","9/8/2002 0:00:00","FLASH FLOOD",493,"WILSON","TX",0,5,0,0
"479956","9/8/2002 0:00:00","FLASH FLOOD",325,"MEDINA","TX",0,9,0,0
"479958","9/8/2002 0:00:00","FLASH FLOOD",163,"FRIO","TX",0,15,0,0
"480048","9/19/2002 0:00:00","FLASH FLOOD",29,"BEXAR","TX",0,2,0,0
"480247","10/23/2002 0:00:00","FLASH FLOOD",29,"BEXAR","TX",0,4,0,0
"480290","10/24/2002 0:00:00","TORNADO",355,"NUECES","TX",1,20,2744,9737
"480293","10/24/2002 0:00:00","TORNADO",355,"NUECES","TX",0,6,2744,9737
"480346","10/29/2002 0:00:00","FLASH FLOOD",245,"JEFFERSON","TX",1,0,0,0
"480405","11/5/2002 0:00:00","FLASH FLOOD",21,"BASTROP","TX",1,0,0,0
"480417","12/3/2002 0:00:00","HEAVY SNOW",1,"TXZ001>014 - 017>018","TX",0,1,0,0
"480457","12/23/2002 0:00:00","TORNADO",453,"TRAVIS","TX",0,1,3019,9732
"480469","12/23/2002 0:00:00","TORNADO",313,"MADISON","TX",0,2,3102,9540
"480495","12/23/2002 0:00:00","HAIL",493,"WILSON","TX",0,10,2923,9812
"480545","12/23/2002 0:00:00","TSTM WIND",321,"MATAGORDA","TX",0,1,2842,9613
"480656","1/27/2002 0:00:00","WINTER STORM",1,"UTZ001>004 - 006>008","UT",0,38,0,0
"480658","1/31/2002 0:00:00","AVALANCHE",9,"UTZ009","UT",1,0,0,0
"480659","2/3/2002 0:00:00","FOG",5,"UTZ005","UT",3,3,0,0
"480666","3/7/2002 0:00:00","WINTER STORM",2,"UTZ002>004 - 006>008","UT",2,50,0,0
"480672","3/16/2002 0:00:00","AVALANCHE",8,"UTZ008","UT",2,0,0,0
"480677","4/15/2002 0:00:00","HIGH WIND",2,"UTZ002>006 - 010>021","UT",0,10,0,0
"480703","6/21/2002 0:00:00","DRY MICROBURST",49,"UTAH","UT",1,0,0,0
"480723","7/25/2002 0:00:00","LIGHTNING",35,"SALT LAKE","UT",2,0,0,0
"480748","8/29/2002 0:00:00","FLASH FLOOD",37,"SAN JUAN","UT",0,1,0,0
"480756","9/6/2002 0:00:00","TSTM WIND/HAIL",45,"TOOELE","UT",0,2,0,0
"480940","7/4/2002 0:00:00","LIGHTNING",27,"WINDSOR","VT",1,0,0,0
"481011","2/1/2002 0:00:00","STRONG WIND",21,"VAZ021 - 025>031 - 036>042 - 050>057","VA",0,1,0,0
"481016","3/17/2002 0:00:00","FLASH FLOOD",195,"WISE","VA",1,0,0,0
"481074","4/28/2002 0:00:00","TORNADO",19,"BEDFORD","VA",0,1,3717,7924
"481075","4/28/2002 0:00:00","TORNADO",31,"CAMPBELL","VA",0,11,3720,7917
"481076","4/28/2002 0:00:00","TORNADO",171,"SHENANDOAH","VA",0,2,3841,7840
"481114","4/28/2002 0:00:00","TORNADO",81,"GREENSVILLE","VA",0,3,3642,7735
"481139","5/2/2002 0:00:00","LIGHTNING",770,"ROANOKE (C)","VA",0,1,0,0
"481154","5/2/2002 0:00:00","FLASH FLOOD",27,"BUCHANAN","VA",2,0,0,0
"481210","5/2/2002 0:00:00","TSTM WIND",199,"YORK","VA",0,1,3714,7631
"481300","5/13/2002 0:00:00","TSTM WIND",770,"ROANOKE (C)","VA",1,2,3716,7957
"481452","6/4/2002 0:00:00","LIGHTNING",35,"CARROLL","VA",0,1,0,0
"481520","6/6/2002 0:00:00","TSTM WIND",540,"CHARLOTTESVILLE (C)","VA",0,3,3802,7830
"481537","6/6/2002 0:00:00","TSTM WIND",137,"ORANGE","VA",0,1,3820,7746
"481539","6/6/2002 0:00:00","TSTM WIND",177,"SPOTSYLVANIA","VA",0,1,3818,7744
"481724","8/3/2002 0:00:00","TSTM WIND",153,"PRINCE WILLIAM","VA",0,1,3843,7731
"481733","8/3/2002 0:00:00","LIGHTNING",15,"AUGUSTA","VA",0,2,0,0
"481850","1/24/2002 0:00:00","HIGH WIND",28,"WAZ028","WA",0,1,0,0
"481859","2/7/2002 0:00:00","HIGH WIND",29,"WAZ029","WA",0,1,0,0
"481863","2/22/2002 0:00:00","AVALANCHE",18,"WAZ018","WA",0,4,0,0
"481890","5/2/2002 0:00:00","HIGH WIND",28,"WAZ028","WA",0,1,0,0
"481894","5/29/2002 0:00:00","BLIZZARD",18,"WAZ018","WA",3,1,0,0
"481895","6/7/2002 0:00:00","LIGHTNING",67,"THURSTON","WA",0,1,0,0
"481968","9/17/2002 0:00:00","LIGHTNING",7,"CARBON","WY",1,0,0,0
"482000","12/1/2002 0:00:00","FOG",27,"WAZ027","WA",1,1,0,0
"482014","12/27/2002 0:00:00","HIGH WIND",6,"WAZ006>008 - 010>011 - 016","WA",0,1,0,0
"482017","12/29/2002 0:00:00","AVALANCHE",25,"WAZ025","WA",1,1,0,0
"482058","3/20/2002 0:00:00","FLOOD",5,"WVZ005>008 - 014>018 - 028>029 - 039>040","WV",0,1,0,0
"482118","5/2/2002 0:00:00","TSTM WIND",81,"RALEIGH","WV",0,1,3737,8107
"482129","5/2/2002 0:00:00","FLASH FLOOD",47,"MCDOWELL","WV",2,0,0,0
"482158","5/14/2002 0:00:00","TSTM WIND",37,"JEFFERSON","WV",1,0,3915,7749
"482203","6/4/2002 0:00:00","LIGHTNING",107,"WOOD","WV",0,3,0,0
"482384","4/15/2002 0:00:00","EXCESSIVE HEAT",46,"WIZ046>047 - 051>052 - 056>060 - 062>072","WI",1,0,0,0
"482386","4/17/2002 0:00:00","TSTM WIND",17,"CHIPPEWA","WI",0,1,4453,9132
"482701","6/20/2002 0:00:00","EXCESSIVE HEAT",65,"WIZ065>066 - 070>072","WI",1,0,0,0
"482728","6/22/2002 0:00:00","EXCESSIVE HEAT",59,"WIZ059>060 - 064>066 - 069>072","WI",1,0,0,0
"482730","6/23/2002 0:00:00","LIGHTNING",85,"ONEIDA","WI",0,2,0,0
"482777","6/25/2002 0:00:00","TORNADO",19,"CLARK","WI",0,2,4457,9019
"482814","7/21/2002 0:00:00","LIGHTNING",129,"WASHBURN","WI",1,0,0,0
"482929","7/30/2002 0:00:00","TSTM WIND",137,"WAUSHARA","WI",1,1,4404,8917
"483013","8/13/2002 0:00:00","URBAN/SML STREAM FLD",89,"OZAUKEE","WI",0,1,0,0
"483015","8/17/2002 0:00:00","LIGHTNING",19,"CLARK","WI",0,2,0,0
"483094","9/2/2002 0:00:00","TORNADO",107,"RUSK","WI",0,27,4528,9108
"483102","9/2/2002 0:00:00","TORNADO",73,"MARATHON","WI",0,1,4502,8943
"483174","10/11/2002 0:00:00","FOG",52,"WIZ052 - 060","WI",11,0,0,0
"483290","6/22/2002 0:00:00","LIGHTNING",39,"TETON","WY",0,5,0,0
"483388","11/23/2002 0:00:00","HEAVY SNOW",1,"WYZ001>002 - 005 - 007>010 - 012 - 014>015 - 017>018 - 020 - 025","WY",0,2,0,0
"484146","5/18/2002 0:00:00","WATERSPOUT",533,"CHESAPEAKE BAY N BEACH TO DRUM PT MD","AN",0,1,3832,7632
"484756","1/17/2002 0:00:00","HIGH SEAS",2,"VIZ002","VI",1,0,0,0
"484758","3/3/2002 0:00:00","RIP CURRENTS",2,"ST. CROIX","VI",1,0,0,0
"484783","1/5/2002 0:00:00","RIP CURRENTS",7,"SAIPAN","GU",0,3,0,0
"484784","1/21/2002 0:00:00","RIP CURRENTS",6,"GUAM","GU",1,3,0,0
"484785","1/27/2002 0:00:00","RIP CURRENTS",6,"GUAM","GU",0,1,0,0
"484786","2/9/2002 0:00:00","RIP CURRENTS",6,"GUAM","GU",0,3,0,0
"484787","3/1/2002 0:00:00","HURRICANE",2,"GUZ002","GU",1,0,0,0
"484788","4/1/2002 0:00:00","RIP CURRENTS",6,"GUAM","GU",0,2,0,0
"484789","4/7/2002 0:00:00","FLOOD",2,"GUZ002 - 006","GU",0,1,0,0
"484790","4/7/2002 0:00:00","RIP CURRENTS",7,"SAIPAN","GU",0,2,0,0
"484791","4/7/2002 0:00:00","RIP CURRENTS",6,"GUAM","GU",1,0,0,0
"484799","10/27/2002 0:00:00","RIP CURRENT",7,"SAIPAN","GU",0,2,0,0
"484800","12/1/2002 0:00:00","RIP CURRENT",7,"SAIPAN","GU",0,1,0,0
"484801","12/8/2002 0:00:00","HURRICANE/TYPHOON",5,"GUZ005>008","GU",1,316,0,0
"484802","3/22/2002 0:00:00","HIGH SURF",5,"NORTH CENTRAL","PR",1,0,0,0
"484867","11/9/2002 0:00:00","HIGH SEAS",5,"NORTH CENTRAL","PR",1,1,0,0
"484874","1/24/2003 0:00:00","EXTREME COLD",11,"ALZ011>015 - 017>050","AL",1,0,0,0
"484946","3/6/2003 0:00:00","TORNADO",15,"CALHOUN","AL",0,3,3345,8541
"485100","3/19/2003 0:00:00","TORNADO",71,"JACKSON","AL",0,3,3445,8543
"485154","4/7/2003 0:00:00","FLASH FLOOD",119,"SUMTER","AL",1,0,0,0
"485177","4/17/2003 0:00:00","RIP CURRENT",97,"MOBILE","AL",1,0,0,0
"485215","4/25/2003 0:00:00","TSTM WIND",1,"AUTAUGA","AL",0,3,3231,8636
"485598","5/8/2003 0:00:00","FLASH FLOOD",29,"CLEBURNE","AL",0,1,0,0
"485800","7/7/2003 0:00:00","LIGHTNING",33,"COLBERT","AL",0,1,0,0
"485861","7/21/2003 0:00:00","LIGHTNING",125,"TUSCALOOSA","AL",0,1,0,0
"485875","7/22/2003 0:00:00","TSTM WIND",127,"WALKER","AL",0,2,3350,8717
"485914","8/6/2003 0:00:00","LIGHTNING",97,"MOBILE","AL",0,1,0,0
"485937","8/31/2003 0:00:00","RIP CURRENT",3,"BALDWIN","AL",1,0,0,0
"485951","11/18/2003 0:00:00","TORNADO",125,"TUSCALOOSA","AL",0,2,3310,8733
"486019","2/9/2003 0:00:00","AVALANCHE",111,"AKZ111","AK",1,1,0,0
"486035","3/12/2003 0:00:00","HIGH WIND",101,"AKZ101 - 111 - 131","AK",0,2,0,0
"486161","1/6/2003 0:00:00","DUST STORM",35,"AZZ035","AZ",1,25,0,0
"486162","1/6/2003 0:00:00","DUST STORM",35,"AZZ035","AZ",1,4,0,0
"486186","7/11/2003 0:00:00","DUST STORM",33,"AZZ033","AZ",0,2,0,0
"486213","7/20/2003 0:00:00","LIGHTNING",7,"GILA","AZ",0,1,0,0
"486229","7/25/2003 0:00:00","FLASH FLOOD",3,"COCHISE","AZ",1,1,0,0
"486274","8/13/2003 0:00:00","FLASH FLOOD",13,"MARICOPA","AZ",1,0,0,0
"486282","8/14/2003 0:00:00","FLASH FLOOD",21,"PINAL","AZ",1,0,0,0
"486366","9/3/2003 0:00:00","FLASH FLOOD",15,"MOHAVE","AZ",0,1,0,0
"486372","9/4/2003 0:00:00","FLASH FLOOD",13,"MARICOPA","AZ",0,2,0,0
"486619","4/24/2003 0:00:00","TORNADO",89,"MARION","AR",0,1,3624,9248
"486730","5/2/2003 0:00:00","HAIL",27,"COLUMBIA","AR",0,3,3313,9310
"486772","5/4/2003 0:00:00","TORNADO",23,"CLEBURNE","AR",0,1,3522,9206
"486778","5/4/2003 0:00:00","TORNADO",145,"WHITE","AR",0,5,3505,9202
"486782","5/4/2003 0:00:00","TORNADO",37,"CROSS","AR",0,4,3519,9102
"486825","5/8/2003 0:00:00","LIGHTNING",31,"CRAIGHEAD","AR",0,1,0,0
"487087","6/10/2003 0:00:00","TSTM WIND",73,"LAFAYETTE","AR",0,1,3326,9335
"487258","7/22/2003 0:00:00","TSTM WIND",35,"CRITTENDEN","AR",0,1,3514,9016
"487260","7/22/2003 0:00:00","LIGHTNING",7,"BENTON","AR",0,1,0,0
"487299","1/5/2003 0:00:00","HIGH WIND",42,"CAZ042>043 - 048>050 - 055>058 - 061","CA",2,11,0,0
"487301","1/6/2003 0:00:00","WILD/FOREST FIRE",65,"RIVERSIDE","CA",0,1,0,0
"487303","1/6/2003 0:00:00","RIP CURRENTS",73,"SAN DIEGO","CA",0,25,0,0
"487307","7/4/2003 0:00:00","EXCESSIVE HEAT",58,"CAZ058 - 058","CA",0,9,0,0
"487308","7/4/2003 0:00:00","WILDFIRE",65,"RIVERSIDE","CA",0,3,0,0
"487310","7/5/2003 0:00:00","EXCESSIVE HEAT",28,"CAZ028","CA",1,0,0,0
"487311","7/5/2003 0:00:00","WILDFIRE",65,"RIVERSIDE","CA",0,1,0,0
"487321","7/12/2003 0:00:00","EXCESSIVE HEAT",58,"CAZ058 - 058","CA",0,14,0,0
"487322","7/12/2003 0:00:00","EXCESSIVE HEAT",28,"CAZ028","CA",1,0,0,0
"487325","7/14/2003 0:00:00","EXCESSIVE HEAT",28,"CAZ028","CA",1,0,0,0
"487536","9/2/2003 0:00:00","FLASH FLOOD",135,"SHARP","AR",0,3,0,0
"487614","1/3/2003 0:00:00","DENSE FOG",89,"CAZ089>092","CA",0,6,0,0
"487618","1/11/2003 0:00:00","DENSE FOG",89,"CAZ089>092","CA",0,6,0,0
"487625","1/27/2003 0:00:00","DENSE FOG",89,"CAZ089>092","CA",0,3,0,0
"487634","2/4/2003 0:00:00","DENSE FOG",91,"CAZ091","CA",0,3,0,0
"487637","2/7/2003 0:00:00","DENSE FOG",91,"CAZ091","CA",0,1,0,0
"487640","2/11/2003 0:00:00","URBAN/SML STREAM FLD",73,"SAN DIEGO","CA",0,1,0,0
"487641","2/11/2003 0:00:00","URBAN/SML STREAM FLD",71,"SAN BERNARDINO","CA",0,2,0,0
"487643","2/11/2003 0:00:00","URBAN/SML STREAM FLD",73,"SAN DIEGO","CA",0,1,0,0
"487653","2/14/2003 0:00:00","URBAN/SML STREAM FLD",73,"SAN DIEGO","CA",1,0,0,0
"487654","2/15/2003 0:00:00","RIP CURRENTS",73,"SAN DIEGO","CA",1,0,0,0
"487674","2/25/2003 0:00:00","HEAVY RAIN",59,"ORANGE","CA",0,1,0,0
"487676","2/25/2003 0:00:00","HEAVY RAIN",65,"RIVERSIDE","CA",0,24,0,0
"487677","2/25/2003 0:00:00","HEAVY RAIN",73,"SAN DIEGO","CA",1,3,0,0
"487783","5/31/2003 0:00:00","EXCESSIVE HEAT",61,"CAZ061","CA",0,1,0,0
"487790","6/15/2003 0:00:00","WILDFIRE",71,"SAN BERNARDINO","CA",0,1,0,0
"487797","6/24/2003 0:00:00","RIP CURRENT",73,"SAN DIEGO","CA",0,4,0,0
"487799","6/26/2003 0:00:00","WILDFIRE",65,"RIVERSIDE","CA",0,2,0,0
"487800","6/26/2003 0:00:00","RIP CURRENT",59,"ORANGE","CA",1,0,0,0
"487807","6/30/2003 0:00:00","WILDFIRE",65,"RIVERSIDE","CA",0,1,0,0
"487808","6/30/2003 0:00:00","WILDFIRE",73,"SAN DIEGO","CA",0,4,0,0
"487812","7/1/2003 0:00:00","RIP CURRENT",59,"ORANGE","CA",0,1,0,0
"487815","7/3/2003 0:00:00","WILDFIRE",65,"RIVERSIDE","CA",0,5,0,0
"487817","7/4/2003 0:00:00","RIP CURRENT",73,"SAN DIEGO","CA",1,0,0,0
"487822","7/16/2003 0:00:00","WILDFIRE",73,"SAN DIEGO","CA",0,14,0,0
"487823","7/19/2003 0:00:00","EXCESSIVE HEAT",50,"CAZ050","CA",0,1,0,0
"487828","7/20/2003 0:00:00","EXCESSIVE HEAT",28,"CAZ028","CA",2,0,0,0
"487831","7/21/2003 0:00:00","RIP CURRENT",59,"ORANGE","CA",1,0,0,0
"487848","7/24/2003 0:00:00","RIP CURRENT",59,"ORANGE","CA",1,0,0,0
"487850","7/25/2003 0:00:00","WILDFIRE",65,"RIVERSIDE","CA",0,2,0,0
"487855","7/28/2003 0:00:00","LIGHTNING",37,"LOS ANGELES","CA",0,1,0,0
"487863","7/30/2003 0:00:00","LIGHTNING",65,"RIVERSIDE","CA",1,0,0,0
"487864","7/30/2003 0:00:00","WILDFIRE",65,"RIVERSIDE","CA",0,1,0,0
"487869","7/30/2003 0:00:00","HEAVY RAIN",73,"SAN DIEGO","CA",0,1,0,0
"487904","8/18/2003 0:00:00","WILDFIRE",65,"RIVERSIDE","CA",0,3,0,0
"487907","8/20/2003 0:00:00","FLASH FLOOD",71,"SAN BERNARDINO","CA",0,2,0,0
"487910","8/20/2003 0:00:00","FLASH FLOOD",71,"SAN BERNARDINO","CA",0,18,0,0
"487946","8/25/2003 0:00:00","WILDFIRE",85,"SANTA CLARA","CA",0,4,0,0
"487956","8/26/2003 0:00:00","FLASH FLOOD",71,"SAN BERNARDINO","CA",3,0,0,0
"488015","9/5/2003 0:00:00","WILDFIRE",71,"SAN BERNARDINO","CA",0,9,0,0
"488033","10/1/2003 0:00:00","WILDFIRE",71,"SAN BERNARDINO","CA",0,1,0,0
"488038","10/21/2003 0:00:00","WILDFIRE",71,"SAN BERNARDINO","CA",0,35,0,0
"488043","10/25/2003 0:00:00","WILDFIRE",71,"SAN BERNARDINO","CA",4,5,0,0
"488045","10/25/2003 0:00:00","WILDFIRE",73,"SAN DIEGO","CA",14,90,0,0
"488046","10/26/2003 0:00:00","WILDFIRE",73,"SAN DIEGO","CA",2,18,0,0
"488048","10/26/2003 0:00:00","WILDFIRE",65,"RIVERSIDE","CA",0,7,0,0
"488050","10/26/2003 0:00:00","WILDFIRE",73,"SAN DIEGO","CA",0,1,0,0
"488062","11/1/2003 0:00:00","WILDFIRE",71,"SAN BERNARDINO","CA",2,7,0,0
"488063","11/1/2003 0:00:00","WILDFIRE",73,"SAN DIEGO","CA",0,23,0,0
"488064","11/1/2003 0:00:00","WILDFIRE",73,"SAN DIEGO","CA",0,6,0,0
"488068","11/2/2003 0:00:00","EXTREME COLD/WIND CHILL",56,"CAZ056","CA",0,4,0,0
"488107","11/27/2003 0:00:00","HIGH WIND",48,"CAZ048 - 057","CA",0,1,0,0
"488108","11/27/2003 0:00:00","DUST STORM",43,"CAZ043 - 048 - 050","CA",0,40,0,0
"488130","12/11/2003 0:00:00","LIGHTNING",71,"SAN BERNARDINO","CA",0,1,0,0
"488156","12/25/2003 0:00:00","LANDSLIDE",55,"CAZ055","CA",14,10,0,0
"488161","12/25/2003 0:00:00","FLASH FLOOD",71,"SAN BERNARDINO","CA",2,5,0,0
"488195","1/13/2003 0:00:00","LANDSLIDE",8,"COZ008","CO",1,6,0,0
"488259","3/17/2003 0:00:00","BLIZZARD",38,"COZ038>041 - 043>045","CO",0,2,0,0
"488260","3/22/2003 0:00:00","AVALANCHE",19,"COZ019","CO",1,0,0,0
"488261","3/23/2003 0:00:00","AVALANCHE",18,"COZ018","CO",0,1,0,0
"488421","5/31/2003 0:00:00","LIGHTNING",69,"LARIMER","CO",1,1,0,0
"488656","4/25/2003 0:00:00","TSTM WIND",103,"PINELLAS","FL",0,1,2746,8240
"488685","7/13/2003 0:00:00","LIGHTNING",41,"EL PASO","CO",0,1,0,0
"488721","7/25/2003 0:00:00","LIGHTNING",41,"EL PASO","CO",0,1,0,0
"488727","7/26/2003 0:00:00","LIGHTNING",69,"LARIMER","CO",0,1,0,0
"488745","7/27/2003 0:00:00","LIGHTNING",109,"SAGUACHE","CO",1,1,0,0
"488762","7/31/2003 0:00:00","LIGHTNING",45,"GARFIELD","CO",2,0,0,0
"488785","8/3/2003 0:00:00","LIGHTNING",69,"LARIMER","CO",0,1,0,0
"488789","8/5/2003 0:00:00","LIGHTNING",41,"EL PASO","CO",1,0,0,0
"488802","8/11/2003 0:00:00","LIGHTNING",119,"TELLER","CO",0,1,0,0
"488821","8/16/2003 0:00:00","LIGHTNING",19,"CLEAR CREEK","CO",0,1,0,0
"488836","8/23/2003 0:00:00","LIGHTNING",41,"EL PASO","CO",0,3,0,0
"488841","8/24/2003 0:00:00","LIGHTNING",93,"PARK","CO",1,0,0,0
"488842","8/24/2003 0:00:00","LIGHTNING",93,"PARK","CO",0,1,0,0
"488984","11/13/2003 0:00:00","HIGH WIND",2,"CTZ002>004","CT",0,1,0,0
"489068","9/15/2003 0:00:00","FLASH FLOOD",3,"NEW CASTLE","DE",0,1,0,0
"489087","11/13/2003 0:00:00","HIGH WIND",1,"DEZ001>004","DE",0,1,0,0
"489109","6/1/2003 0:00:00","STRONG WIND",1,"DCZ001","DC",0,4,0,0
"489110","6/7/2003 0:00:00","HEAVY RAIN",1,"DISTRICT OF COLUMBIA","DC",0,2,0,0
"489112","6/12/2003 0:00:00","TSTM WIND",1,"DISTRICT OF COLUMBIA","DC",0,4,3851,7659
"489121","8/16/2003 0:00:00","TSTM WIND",1,"DISTRICT OF COLUMBIA","DC",0,3,3855,7701
"489122","8/26/2003 0:00:00","TSTM WIND",1,"DISTRICT OF COLUMBIA","DC",0,1,3855,7701
"489126","11/13/2003 0:00:00","STRONG WIND",1,"DCZ001","DC",0,2,0,0
"489135","1/9/2003 0:00:00","WILD/FOREST FIRE",107,"PUTNAM","FL",0,1,0,0
"489143","1/24/2003 0:00:00","EXTREME COLD",40,"FLZ040","FL",1,0,0,0
"489151","2/17/2003 0:00:00","EXCESSIVE HEAT",74,"FLZ074","FL",1,0,0,0
"489258","3/17/2003 0:00:00","RIP CURRENT",33,"ESCAMBIA","FL",0,1,0,0
"489280","3/18/2003 0:00:00","RIP CURRENT",91,"OKALOOSA","FL",0,2,0,0
"489291","3/20/2003 0:00:00","TORNADO",63,"JACKSON","FL",0,3,3042,8503
"489314","3/27/2003 0:00:00","RIP CURRENT",33,"ESCAMBIA","FL",1,0,0,0
"489319","3/27/2003 0:00:00","TSTM WIND",83,"MARION","FL",0,8,2901,8156
"489329","3/27/2003 0:00:00","TORNADO",86,"MIAMI-DADE","FL",1,14,2546,8012
"489333","4/7/2003 0:00:00","RIP CURRENT",33,"ESCAMBIA","FL",1,0,0,0
"489342","4/20/2003 0:00:00","HEAVY SURF/HIGH SURF",68,"FLZ068","FL",2,0,0,0
"489349","4/25/2003 0:00:00","TSTM WIND",1,"ALACHUA","FL",0,1,2950,8236
